The Exact Value = 0.4161468365471424


| iteration |     h     |
|-----------------------|
|    01     | 1         |
|    02     | 0.5       |
|    03     | 0.1       |
|    04     | 0.01      |
|    05     | 0.001     |
|    06     | 0.0001    |
|    07     | 1e-05     |
|    08     | 1e-06     |
|    09     | 1e-07     |
|    10     | 1e-08     |
|    11     | 1e-09     |
|    12     | 1e-10     |
|    13     | 9.999999999999999e-12       |
|    14     | 1e-12     |
|    15     | 1e-13     |
|    16     | 1e-14     |
|    17     | 1e-15     |
|    18     | 1e-16     |

| iteration |   approximation    |
|--------------------------------|
|    01     | 0.3826034823619792 |
|    02     | 0.4075490368602161 |
|    03     | 0.415800163092389  |
|    04     | 0.4161433686711291 |
|    05     | 0.4161468019070469 |
|    06     | 0.41614681700608   |
|    07     | 0.4161471167662966 |
|    08     | 0.4160005673270462 |
|    09     | 0.4385380947269369 |
|    10     | 1.110223024625156  |
|    11     | 55.51115123125782  |
|    12     | 5551.115123125782  |
|    13     | 555111.5123125783  |
|    14     |         0          |
|    15     | 5551115123.125782  |
|    16     | -1665334536937.735 |
|    17     | 277555756156289.1  |
|    18     |         0          |

| iteration |         error         |
-------------------------------------
|    01     | 0.03354335418516324   |
|    02     | 0.008597799686926311  |
|    03     | 0.0003466734547533656 |
|    04     | 3.467876013296678e-06 |
|    05     | 3.464009551423786e-08 |
|    06     | 1.954106237933573e-08 |
|    07     | 2.802191542139454e-07 |
|    08     | 0.0001462692200962512 |
|    09     | 0.02239125817979448   |
|    10     | 0.694076188078014     |
|    11     | 55.09500439471068     |
|    12     | 5550.698976289234     |
|    13     | 555111.0961657417     |
|    14     | 0.4161468365471424    |
|    15     | 5551115122.709635     |
|    16     | 1665334536938.151     |
|    17     | 277555756156288.7     |
|    18     | 0.4161468365471424    |
